dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
WH,Wuhan,1,谁啊?我是老三。,哪个?我是老三,,na kuo ŋuo sɿ nau san,na42 kuo ŋuo sɿ35 nau42 san55,na42kuoŋuosɹ̩35nau42san55,nakuoŋuosɹ̩nausan
WH,Wuhan,2,老四呢?她正跟一个朋友说着话呢。,老四咧?她在跟一个朋友说话,,nau sɿ nie tˈa tai kən i kuo pˈoŋ iəu suo xua,nau42 sɿ35 nie tˈa55 tai35 kən55 i21321 kuo pˈoŋ21321 iəu42 suo21321 xua35,nau42sɹ̩35nietʰa55tai35kən55i21321kuopʰoŋ21321iəu42suo21321xua35,nausɹ̩nietʰataikənikuopʰoŋiəusuoxua
WH,Wuhan,3,她还没说完吗?,她还冇说完,,tˈa xai mau suo uan,tˈa55 xai21321 mau35 suo21321 uan213,tʰa55xai21321mau35suo21321uan213,tʰaxaimausuouan
WH,Wuhan,4,还没有。大概再有一会儿就说完了。,还冇，大概还有一哈儿就说完了,,xai mau ta kˈai xai iəu i xar tɕiəu suo uan niau,xai21321 mau35 ta35 kˈai35 xai21321 iəu42 i21321 xar tɕiəu35 suo21321 uan21321 niau,xai21321mau35ta35kʰai35xai21321iəu42i21321xartɕiəu35suo21321uan21321niau,xaimautakʰaixaiiəuixartɕiəusuouanniau
WH,Wuhan,5,他说马上就走，怎么这半天了还在家里?,他说就走的，么样这半天还冇走,,tˈa suo tɕiəu ti mo iaŋ tsɤ pan tˈiɛn xai mau tsəu,tˈa55 suo21321 tɕiəu42 ti mo42 iaŋ tsɤ35 pan35 tˈiɛn55 xai21321 mau35 tsəu42,tʰa55suo21321tɕiəu42timo42iaŋtsɤ35pan35tʰiɛn55xai21321mau35tsəu42,tʰasuotɕiəutimoiaŋtsɤpantʰiɛnxaimautsəu
WH,Wuhan,6,你到哪儿去?我到城里去。,你到哪里去?我到城里去,,ni tau na ni kˈɯ ŋuo tau tsˈən ni kˈɯ,ni42 tau35 na42 ni kˈɯ ŋuo42 tau35 tsˈən21321 ni kˈɯ35,ni42tau35na42nikʰɯŋuo42tau35tsʰən21321nikʰɯ35,nitaunanikʰɯŋuotautsʰənnikʰɯ
WH,Wuhan,7,在那儿，不在这儿。,在那里，不在这里,,tai na ni pu tai tsɤ ni,tai35 na35 ni pu35 tai35 tsɤ35 ni,tai35na35nipu35tai35tsɤ35ni,tainaniputaitsɤni
WH,Wuhan,8,不是那么做，要这么做。,不是那样办，是这样办,,pu sɿ na iaŋ pan sɿ tsɤ iaŋ pan,pu21321 sɿ35 na35 iaŋ pan35 sɿ35 tsɤ35 iaŋ pan35,pu21321sɹ̩35na35iaŋpan35sɹ̩35tsɤ35iaŋpan35,pusɹ̩naiaŋpansɹ̩tsɤiaŋpan
WH,Wuhan,9,太多了，用不着那么多，只要这么多就够了。,太多了，用不倒那样多，光要这么多就够了,,tˈai tuo niau ioŋ pu tau na iaŋ tuo kuaŋ iau tsɤ mo tuo tçiəu kəu niau,tˈai35 tuo55 niau ioŋ35 pu tau na35 iaŋ tuo55 kuaŋ55 iau35 tsɤ35 mo tuo55 tçiəu35 kəu35 niau,tʰai35tuo55niauioŋ35putauna35iaŋtuo55kuaŋ55iau35tsɤ35motuo55tçiəu35kəu35niau,tʰaituoniauioŋputaunaiaŋtuokuaŋiautsɤmotuotçiəukəuniau
WH,Wuhan,10,这个大，那个小，这两个哪一个好一点呢?,这个大，那个小，这两个哪个好一点儿,,tsɤ kuo ta na kuo ɕiau tsɤ niaŋ kuo na kuo xau i tier,tsɤ35 kuo ta35 na35 kuo ɕiau42 tsɤ35 niaŋ42 kuo na42 kuo xau42 i21321 tier,tsɤ35kuota35na35kuoɕiau42tsɤ35niaŋ42kuona42kuoxau42i21321tier,tsɤkuotanakuoɕiautsɤniaŋkuonakuoxauitier
WH,Wuhan,11,这个比那个好。,这个比那个好,,tsɤ kuo pi na kuo xau,tsɤ35 kuo pi42 na35 kuo xau42,tsɤ35kuopi42na35kuoxau42,tsɤkuopinakuoxau
WH,Wuhan,12,这些房子不如那些房子好。,这些房子冇得那些房子好,,tsɤ ɕie faŋ tsɿ mau tɤ na ɕie faŋ tsɿ xau,tsɤ35 ɕie35 faŋ23121 tsɿ mau35 tɤ na35 ɕie55 faŋ21321 tsɿ xau42,tsɤ35ɕie35faŋ23121tsɹ̩mau35tɤna35ɕie55faŋ21321tsɹ̩xau42,tsɤɕiefaŋtsɹ̩mautɤnaɕiefaŋtsɹ̩xau
