dialect_id,dialect_name,sentence_id,meaning,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_with_tone,ipa_converted_no_tone
HF,Hefei,1,有一回,有回子,,iɯ xue tsə,iɯ24 xue55 tsə,iɯ24 xue55 tsə,iɯ xue tsə
HF,Hefei,2,北风跟太阳在那儿争论谁的本事大,北风跟日头在那奥子争论哈个本事大,,pɐʔ fəŋ kən ʐəʔ tˈɯ tsE la ɔ tsə tsən lən xa kə pən sɿ ta,pɐʔ5 fəŋ21 kən21 ʐəʔ5 tˈɯ tsE53 la53 ɔ tsə tsən21-24 lən53 xa24 kə pən24 sɿ ta53,pɐʔ5 fəŋ21 kən21 ʐəʔ5 tˈɯ tsɤ53 la53 ɔ tsə tsən21-24 lən53 xa24 kə pən24 sɹ̩ ta53,pɐʔ fəŋ kən ʐəʔ tˈɯ tsɤ la ɔ tsə tsən lən xa kə pən sɹ̩ ta
HF,Hefei,,争来争去就是分不出高低来,争来争去就是不分高低,,tsən lE tsən tsˈɥ tɕiɯ ʂʅ pəʔ fən kɔ tsɿ,tsən21 lE55 tsən21-24 tsˈɥ53 tɕiɯ53 ʂʅ53 pəʔ5 fən21 kɔ21-24 tsɿ21,tsən21 lɤ55 tsən21-24 tsˈɥ53 tɕiɯ53 ʂɻ̩53 pəʔ5 fən21 kɔ21-24 tsɹ̩21,tsən lɤ tsən tsˈɥ tɕiɯ ʂɻ̩ pəʔ fən kɔ tsɹ̩
HF,Hefei,,这时候路上来了个走道儿的,第个时候来之一个走路的,,ti kə ʂʅ xɯ lE tʂə iəʔ kə tsɯ lu tiəʔ,ti53 kə ʂʅ55 xɯ53 lE55 tʂə iəʔ kə tsɯ24 lu53 tiəʔ,ti53 kə ʂɻ̩55 xɯ53 lɤ55 tʂə iəʔ kə tsɯ24 lu53 tiəʔ,ti kə ʂɻ̩ xɯ lɤ tʂə iəʔ kə tsɯ lu tiəʔ
HF,Hefei,,他身上穿着件厚大衣,他身上穿着一件厚大氅,,tˈa ʂən ʂɑ̃ tʂˈʊ̃ tɕiɪ̃ xɯ ta tʂˈɑ̃,tˈa21-24 ʂən21 ʂɑ̃ tʂˈʊ̃21-24 tɕiɪ̃21 xɯ53 ta53 tʂˈɑ̃24,tˈa21-24 ʂən21 ʂɑ̃ tʂˈʊ̃21-24 tɕiɪ̃21 xɯ53 ta53 tʂˈɑ̃24,tˈa ʂən ʂɑ̃ tʂˈʊ̃ tɕiɪ̃ xɯ ta tʂˈɑ̃
HF,Hefei,,他们俩就说好了,他们就讲好之,,tˈa mən tɕiɯ tɕiɑ̃ xɔ tʂə,tˈa21 mən tɕiɯ53 tɕiɑ̃24 xɔ24 tʂə,tˈa21 mən tɕiɯ53 tɕiɑ̃24 xɔ24 tʂə,tˈa mən tɕiɯ tɕiɑ̃ xɔ tʂə
HF,Hefei,,谁能先叫这个走道儿的脱下他的厚大衣,哈个能叫第个走路的脱掉厚大氅,,xa kə lən tɕiɔ ti kə tsɯ lu tiəʔ tˈuɐʔ tiɔ xɯ ta tʂˈɑ̃,xa24 kə lən55 tɕiɔ53 ti53 kə tsɯ24 lu53 tiəʔ tˈuɐʔ5 tiɔ53 xɯ53 ta53 tʂˈɑ̃24,xa24 kə lən55 tɕiɔ53 ti53 kə tsɯ24 lu53 tiəʔ tˈuɐʔ5 tiɔ53 xɯ53 ta53 tʂˈɑ̃24,xa kə lən tɕiɔ ti kə tsɯ lu tiəʔ tˈuɐʔ tiɔ xɯ ta tʂˈɑ̃
HF,Hefei,,就算谁的本事大,就算哈个的本事大,,tɕiɯ sʊ̃ xa kə tiəʔ pən sɿ ta,tɕiɯ53 sʊ̃53 xa24 kə tiəʔ pən24 sɿ ta53,tɕiɯ53 sʊ̃53 xa24 kə tiəʔ pən24 sɹ̩ ta53,tɕiɯ sʊ̃ xa kə tiəʔ pən sɹ̩ ta
HF,Hefei,,北风就使劲儿地刮起来了,北风就出劲吹将起来,,pɐʔ fəŋ tɕiɯ tʂˈuəʔ tɕin tʂˈue tɕiɑ̃ tsˈɿ lE,pɐʔ5 fəŋ21 tɕiɯ53 tʂˈuəʔ5 tɕin53 tʂˈue21 tɕiɑ̃ tsˈɿ24 lE,pɐʔ5 fəŋ21 tɕiɯ53 tʂˈuəʔ5 tɕin53 tʂˈue21 tɕiɑ̃ tsˈɹ̩24 lɤ,pɐʔ fəŋ tɕiɯ tʂˈuəʔ tɕin tʂˈue tɕiɑ̃ tsˈɹ̩ lɤ
HF,Hefei,,不过他越是刮得厉害,哈晓得他吹的越凶,,xa ɕiɔ tən tˈa tʂˈue tiəʔ yɐʔ ɕiŋ,xa24 ɕiɔ24 tən tˈa21-24 tʂˈue21 tiəʔ yɐʔ5 ɕiŋ21,xa24 ɕiɔ24 tən tˈa21-24 tʂˈue21 tiəʔ yɐʔ5 ɕiŋ21,xa ɕiɔ tən tˈa tʂˈue tiəʔ yɐʔ ɕiŋ
